CustomerID,Name,Gender,Age,Location,SignUpDate,LastLoginDate,TotalSpend,NoOfOrders,PreferredCategory,PaymentMethod,DeviceUsed,RatingGiven,IsPremiumMember
CUST1000,Allison Hill,Male,64,Jacobsonview,2023-08-26,2025-05-05,18326,12,Clothing,Cash on Delivery,Desktop,3,No
CUST1001,Noah Rhodes,Female,29,Lake Amyburgh,2024-11-08,2025-05-02,25481,12,Home,Cash on Delivery,Mobile,1,No
CUST1002,Angie Henderson,Female,33,Nicolestad,2023-08-29,2025-05-07,10882,14,Books,Debit Card,Mobile,4,No
CUST1003,Daniel Wagner,Female,41,South Bradley,2024-06-19,2025-04-27,4937,14,Clothing,Credit Card,Desktop,3,Yes
CUST1004,Cristian Santos,Male,36,Marshallbury,2024-09-28,2025-05-11,5935,12,Home,Debit Card,Desktop,3,No
CUST1005,Connie Lawrence,Male,25,Anneberg,2024-05-02,2025-05-13,25319,11,Beauty,Cash on Delivery,Mobile,4,No
CUST1006,Abigail Shaffer,Male,48,North Elizabethside,2023-04-27,2025-05-04,37375,15,Beauty,Cash on Delivery,Tablet,5,No
CUST1007,Gina Moore,Female,38,Arellanoshire,2022-06-24,2025-04-18,32482,8,Home,Wallet,Mobile,4,No
CUST1008,Gabrielle Davis,Female,34,New Bruce,2022-05-17,2025-05-04,33828,9,Clothing,Debit Card,Tablet,3,Yes
CUST1009,Ryan Munoz,Female,40,Cardenaschester,2023-01-08,2025-05-01,12829,11,Home,Debit Card,Mobile,5,No
CUST1010,Monica Herrera,Male,54,Armstrongbury,2023-06-26,2025-05-13,25669,6,Home,Credit Card,Desktop,5,No
CUST1011,Jamie Arnold,Other,33,Evansfurt,2023-08-23,2025-04-23,22432,6,Books,Credit Card,Tablet,2,Yes
CUST1012,Lisa Hensley,Female,23,New Ashleyhaven,2025-02-02,2025-05-05,35094,11,Beauty,Wallet,Desktop,4,No
CUST1013,Michele Williams,Male,25,North Stacy,2025-01-26,2025-05-04,11921,10,Books,Net Banking,Desktop,3,No
CUST1014,Dylan Miller,Male,42,Thompsonburgh,2024-05-17,2025-04-18,45533,12,Books,Net Banking,Desktop,1,No
CUST1015,Brian Ramirez,Male,35,Port James,2022-11-22,2025-04-15,8129,9,Home,Net Banking,Desktop,4,Yes
