EmployeeID,Name,Age,Gender,Department,JobRole,Education,YearsAtCompany,MonthlyIncome,PerformanceRating,Attrition,OverTime,WorkLifeBalance,TrainingTimesLastYear,JobSatisfaction
E1000,Allison Hill,50,Male,Engineering,Specialist,Masters,17,109604,3,No,Yes,4,0,2
E1001,Noah Rhodes,36,Male,HR,Specialist,Masters,18,27031,3,No,Yes,4,6,3
E1002,Angie Henderson,29,Male,Finance,Manager,Masters,3,103431,4,No,No,4,7,4
E1003,Daniel Wagner,42,Male,Engineering,Specialist,Bachelors,11,109816,3,No,No,4,1,4
E1004,Cristian Santos,40,Other,Finance,Engineer,Bachelors,13,91435,3,No,No,3,1,3
E1005,Connie Lawrence,44,Male,Finance,Specialist,Bachelors,17,57495,3,No,No,1,0,1
E1006,Abigail Shaffer,32,Male,Sales,Specialist,Bachelors,0,144609,3,No,No,4,0,1
E1007,Gina Moore,32,Male,Operations,Analyst,Bachelors,19,129350,3,No,No,2,3,1
E1008,Gabrielle Davis,45,Female,Marketing,Analyst,Bachelors,10,97597,3,No,No,3,3,1
E1009,Ryan Munoz,57,Male,Sales,Analyst,PhD,18,140098,4,No,No,3,7,2
E1010,Monica Herrera,45,Female,Marketing,Executive,Masters,0,49949,3,Yes,No,1,4,1
E1011,Jamie Arnold,24,Other,Marketing,Analyst,Bachelors,0,72188,3,No,Yes,3,3,1
E1012,Lisa Hensley,43,Male,Sales,Executive,Masters,2,45563,4,No,Yes,3,8,4
E1013,Michele Williams,23,Male,Finance,Executive,Bachelors,13,74633,4,No,No,1,5,2
E1014,Dylan Miller,45,Male,Engineering,Engineer,Masters,7,130814,3,No,No,1,0,3
E1015,Brian Ramirez,51,Female,Engineering,Analyst,Bachelors,14,33171,2,No,No,3,6,4
E1016,Holly Wood,59,Male,Marketing,Specialist,Diploma,3,90807,5,Yes,No,1,9,3
E1017,Derek Zuniga,23,Male,Engineering,Manager,Bachelors,10,133549,1,No,Yes,4,7,4
E1018,Lisa Jackson,42,Male,Sales,Specialist,PhD,7,28535,4,No,No,4,3,3
E1019,Carla Gray,54,Female,Operations,Analyst,Masters,6,45998,5,No,Yes,3,2,1
E1020,Margaret Hawkins DDS,33,Male,HR,Specialist,Masters,1,137653,3,Yes,No,1,0,4
E1021,Patty Perez,43,Male,Marketing,Analyst,Diploma,7,60842,2,No,Yes,3,7,2
E1022,Ethan Adams,46,Female,Sales,Analyst,Bachelors,18,133256,3,No,No,3,9,4
E1023,Tommy Walter,48,Female,Finance,Specialist,Bachelors,8,83160,3,No,No,3,8,4
E1024,Matthew Foster,49,Female,Engineering,Executive,Bachelors,15,98715,3,No,No,4,9,3
E1025,Judy Baker,37,Male,Sales,Engineer,PhD,7,57547,3,No,No,4,9,2
E1026,Justin Baker,36,Female,Engineering,Engineer,Bachelors,7,103310,4,No,No,3,0,1
E1027,Stephanie Ross,24,Female,Sales,Engineer,Bachelors,10,42180,5,No,Yes,3,9,4
